"IL.1α","IL.1β","IL.2","IL.3","IL.4","IL.5","IL.6","IL.9","IL.10","IL.12p40","IL.12p70","IL.13","IL.17a","Eotaxin","GCSF","GMCSF","IFN.γ","KC","MCP.1","MIP.1a","MIP.1b","RANTES","TNFα","IL.15","IL.18","Basic.FGF","LIF","MCSF","MIG","MIP.2α","PDGF.BB","VEGF"
4.37,0.001,0.001,2.32,0.001,0.001,2.69,0.001,0.001,8.51,0.001,0.001,0.001,0.001,0.91,0.001,0.5,11.45,0.001,21.64,78.17,104.73,0.001,1.07,0.001,10.75,0.68,0.89,0.001,63.45,0.001,10.88
12.72,0.001,0.001,4.68,0.42,0.39,34.17,0.001,13.77,9.36,0.001,18.72,0.56,0.001,30.1,13.46,1.78,76.19,42.67,334.56,530.98,684.63,0.001,7.78,0.001,23.02,1.35,1.76,102.49,369.98,0.001,18.74
57.65,0.001,0.001,7.95,3.76,2.78,191.04,0.001,45.55,17.71,36.62,48.36,1.84,0.001,1112.41,86.04,5.67,965.93,361.88,1924.41,1756.93,370.79,0.001,16.73,0.001,20.45,6.16,3.46,112.82,4534.23,0.001,28.93
6.77,0.001,0.001,3.24,0.001,0.39,14.62,0.001,0.001,7.87,0.001,2.74,0.34,0.001,3.05,0.001,0.18,45.54,0.001,113.51,239.56,511.74,0.001,0.001,0.001,14.5,1.35,1.18,19.36,205.45,0.001,9.61
4.57,0.001,0.001,2.47,0.001,0.001,1.09,0.001,0.001,4.96,0.001,0.001,0.001,0.001,0.001,0.001,0.37,4.35,0.001,9.48,46.47,69.98,0.001,0.001,0.001,17.64,0.51,1.18,11.86,15.28,0.001,13.46
15.54,0.001,203.75,14.91,70.96,7.72,20.19,0.001,34.51,5.57,32.05,33.46,57.43,0.001,2.63,65.38,1687.32,3.69,131.53,610.06,2059.74,283.01,0.001,7.78,0.001,14.5,72.94,2.87,1238.86,105.29,0.001,42.24
14.27,0.001,0.001,9.03,3.45,2.78,503.28,0.001,90.23,616.54,72.73,38.41,3.7,11.31,12.42,102.35,20.95,9.39,192.22,1201.06,3120.6,924.18,203.37,16.73,0.001,10.75,2.52,2.57,82.35,101.79,0.001,89.98
5.78,0.001,0.001,2.18,0.001,0.001,1.24,0.001,0.001,7.55,0.001,0.001,0.11,0.001,0.001,0.001,0.81,3.18,0.001,7.89,45.34,37.36,0.001,1.07,0.001,14.5,1.18,1.03,11.86,39.86,0.001,13.79
14.27,0.001,0.001,5.34,0.42,0.001,57.35,0.001,7.59,7.66,0.001,15.48,0.56,0.001,27.38,10.5,2.14,55.34,86.06,410.43,571.02,705.43,0.001,0.001,0.001,12.73,2.18,1.32,19.36,498.9,0.001,16.74
72.37,43.4,0.001,9.39,4.45,2.78,330.14,0.001,87.05,17.59,52.47,65.06,3.49,0.001,1021.11,102.35,74.51,700.14,512.75,2813.87,3691.97,411.19,0.001,22.33,0.001,20.45,10.12,2.94,72.57,8203.47,0.001,28.93
9.46,0.001,0.001,4.35,0.16,0.39,43.47,0.001,0.001,11.54,0.001,5.87,0.56,0.001,8.4,0.001,8.31,25.84,27.01,244.05,443.06,665.17,0.001,3.31,0.001,10.75,3.51,0.89,53.66,321.57,0.001,12.49
5.98,0.001,0.001,2.03,0.001,0.001,1.6,0.001,0.001,4.25,0.001,0.001,0.001,0.001,0.001,0.001,0.001,5.16,0.001,7.18,25.87,43.96,0.001,5.54,0.001,14.5,1.18,1.18,5.1,37.56,0.001,16.41
17.6,0.001,498.01,23.36,151.82,0.26,42.66,74.94,33.11,8.05,118.79,74.93,133.89,370.72,4.63,249.58,718.6,9.27,245.82,657.35,1925.84,271.72,1003.42,30.9,0.001,14.95,106.05,4.88,1128.16,124.95,0.001,82.97
18.72,46.17,0.001,12.65,4.86,0.001,753.35,117.25,125.77,144.16,160.67,88.2,2.12,317.54,19.56,252.57,8.95,26.55,364.13,1984.15,1442.68,254.08,1098.71,46.96,31.84,14.95,1.35,2.44,66.2,79.12,71.32,152.15
4.78,0.001,0.001,0.001,0.54,0.001,1.58,0.001,2.58,6.14,46.3,0.001,0.001,0.001,0.59,99.44,0.001,6.86,106.73,44.1,97.3,54.85,833.71,22.17,0.001,11.87,0.001,1.4,38.9,46.5,0.001,39.93
11.43,0.001,0.001,4.17,1.37,0.001,26.85,14.21,22.33,5.5,57.47,30.2,0.001,97.79,45.97,148.02,0.001,53.66,106.73,509.84,457.67,437.5,776.73,22.17,0.001,13.44,0.92,1.4,38.9,389.53,0.001,61.66
43.89,49.03,0.001,13.64,5.52,0.001,110.54,69.63,102.42,12.51,118.79,88.2,2.86,383.8,1509.76,240.41,2.95,859.3,518.07,3296.18,2564.06,210.37,1097.14,58.25,0.001,14.95,3.85,3.84,107.39,8306.17,0.001,66.77
10.24,0.001,0.001,2.55,1.5,0.001,12.2,0.001,9.03,7.42,57.47,16.53,0.001,0.001,13.27,99.44,0.001,39.4,0.001,367.25,319.5,308.06,594.67,17.51,0.001,11.87,0.03,0.87,25.25,326.05,0.001,39.51
10.02,0.001,0.001,3.24,0.001,0.39,1.24,77.05,0.001,4.15,18.1,0.001,0.34,0.001,0.91,25.78,1.48,2.66,0.001,3.34,2.31,8.57,321.65,10.02,0.001,20.45,1.85,1.32,5.1,1.35,3.94,5.87
4.99,0.001,0.001,0.001,0.12,0.001,0.001,34.66,7.13,3.58,60.27,0.001,0.001,0.001,0.001,106.76,0.001,0.55,0.001,23.21,46.37,41.45,873.45,12.54,6.13,8.46,0.03,1.22,52.54,9.86,0.001,30.57
23.82,0.001,466.3,33.8,289.93,25.42,67.03,0.001,47.42,7.73,135.53,123.4,304.24,290.37,7.38,280.73,688.2,16.52,547.6,510.9,1464.15,175.07,1073.47,43.08,0.001,27.97,127.23,5.05,1901.34,196.52,0.001,83.83
15.81,0.001,0.001,12.98,6.32,0.001,849.71,14.21,119.45,224.8,164.87,83.78,2.86,473.38,30.35,249.58,9.12,30.68,1030.3,1784.2,1710.42,367.18,901.38,39.11,19.57,20.52,2.61,1.92,93.61,94.7,0.001,190.67
1.95,0.001,0.001,0.001,0.001,0.001,0.07,0.001,3.11,3.9,29.46,0.001,0.001,80.86,0.001,116.86,0.001,7.69,0.001,32.42,61.7,39.25,653.01,0.001,0.001,23.1,0.001,0.18,38.9,27.68,0.001,38.65
9.94,0.001,0.001,2.88,2.18,0.001,23.79,0.001,13.62,8.69,46.3,16.53,0.001,0.001,22.66,137.52,0.001,46.98,88.89,332.35,327.63,469.1,635.45,12.54,0.001,23.1,0.03,0.87,25.25,179.29,0.001,89.37
49.82,62.5,0.001,13.31,7.7,0.001,157.25,0.001,106.7,15.37,118.79,97.03,4.32,44.69,1894.01,235.69,13.11,615.44,965.73,3509.16,3093.8,230.43,909.56,50.78,0.001,27.97,3.85,3.84,66.2,4423.87,0.001,94.92
